id,ref_point,extent_x,extent_y,extent_z,surface_area,volume,SA/volume,sphericity,elongation,PCA_var_0,PCA_var_1,PCA_var_2,CH_area,CH_volume,convexity,out_of_bounds
75791948044403936,"27542, 35907, 910",50,58,18,3944,17064,0.231,210.692,3.222,0.807,0.155,0.038,4318.184,17406.167,0.98,N
75721648019659998,"26992, 36400, 898",119,72,37,8881,39860,0.223,440.87,3.216,0.876,0.112,0.012,11994.412,61867.167,0.644,N
75721579300146037,"26863, 36227, 870",71,38,15,2870,7870,0.365,381.677,4.733,0.917,0.075,0.008,3740.023,10104.833,0.779,N
75862248068993200,"27804, 35840, 846",191,250,31,10719,26308,0.407,1779.456,8.065,0.96,0.04,0.001,32357.494,129574.167,0.203,N
75862316788488930,"28114, 35867, 850",25,65,17,2460,7850,0.313,241.583,3.824,0.901,0.077,0.022,3072.668,9310.5,0.843,N
75791810605289508,"27364, 35122, 827",215,183,18,10455,27356,0.382,1527.098,11.944,0.982,0.016,0.001,22132.768,94731.333,0.289,N
75721441861067608,"26957, 34867, 786",56,211,20,8076,21834,0.37,1104.898,10.55,0.965,0.034,0.001,16703.531,59404.667,0.368,N
75651073050121934,"26345, 35001, 734",70,83,72,12788,121775,0.105,141.024,1.186,0.629,0.194,0.177,15713.5,155743.0,0.782,N
75651004330536050,"26253, 34606, 708",99,177,115,15052,56647,0.266,1062.744,1.788,0.797,0.181,0.022,39925.541,464222.0,0.122,N
75651004330627035,"26562, 34670, 728",37,58,17,2637,9543,0.276,201.354,3.412,0.869,0.095,0.035,3154.094,10778.0,0.885,N
75721373074846380,"26725, 34428, 754",113,33,13,4988,14911,0.335,558.169,8.692,0.944,0.049,0.007,6387.186,21038.5,0.709,N
75721304422089444,"26673, 34016, 778",178,49,19,8253,25192,0.328,885.748,9.368,0.979,0.018,0.004,11466.469,45865.667,0.549,N
75721304422127896,"26877, 33863, 799",53,77,23,5393,24207,0.223,267.676,3.348,0.846,0.098,0.056,6153.88,31606.333,0.766,N
75791604446837566,"27549, 33684, 799",38,153,19,5844,17769,0.329,632.127,8.053,0.978,0.018,0.004,8017.278,27357.667,0.65,N
75791604380102841,"27656, 33759, 762",178,112,24,7355,16609,0.443,1442.318,7.417,0.979,0.018,0.003,13971.45,57053.833,0.291,N
75791604379996105,"27444, 33733, 723",110,117,35,17107,65639,0.261,1161.977,3.343,0.653,0.336,0.011,18407.439,106046.333,0.619,N
75721235635852796,"26943, 33648, 722",26,37,16,1544,5701,0.271,113.25,2.312,0.666,0.262,0.072,1846.858,5518.333,1.033,N
75721235702603552,"26939, 33606, 774",51,49,19,4180,21905,0.191,152.21,2.684,0.543,0.397,0.06,4742.949,21747.667,1.007,N
75791535727388186,"27087, 33127, 830",193,309,29,12064,29990,0.402,1952.185,10.655,0.995,0.005,0.0,25144.134,88259.667,0.34,N
75791535727478710,"27352, 32886, 877",53,72,28,3249,10299,0.315,323.34,2.571,0.93,0.048,0.022,4320.366,15253.5,0.675,N
75721166983370154,"27046, 32903, 913",85,67,14,4504,17284,0.261,305.849,6.071,0.938,0.052,0.011,5392.1,17762.167,0.973,N
75791535794314095,"27111, 32868, 968",349,76,113,11705,33455,0.35,1432.822,4.592,0.988,0.009,0.003,25875.325,142523.833,0.235,N
75721166983504017,"27158, 32810, 990",88,52,16,4309,16022,0.269,311.671,5.5,0.878,0.11,0.012,6334.555,23067.167,0.695,N
75791535727681607,"27233, 33075, 1009",101,109,37,14154,101248,0.14,276.608,2.946,0.541,0.403,0.055,17347.62,140405.167,0.721,N
75721235769722269,"26874, 33389, 1043",33,38,16,2196,10465,0.21,96.698,2.375,0.531,0.379,0.09,2580.481,9958.0,1.051,N
75721235769735738,"26808, 33285, 1050",44,28,13,1847,6466,0.286,150.706,3.385,0.734,0.221,0.045,2155.727,6297.667,1.027,N
75721167050389995,"26989, 33166, 1121",51,42,19,3399,17235,0.197,132.2,2.684,0.629,0.31,0.061,3923.854,17040.667,1.011,N
75721167050456063,"26968, 33250, 1170",37,77,41,5126,25093,0.204,213.91,2.081,0.822,0.131,0.048,6605.539,37641.667,0.667,N
75650867025763037,"26313, 33643, 1163",57,47,18,4085,18061,0.226,208.974,3.167,0.721,0.238,0.041,4690.402,20200.167,0.894,N
75650935745198816,"26598, 33864, 1142",88,67,33,4207,17413,0.242,245.567,2.667,0.951,0.031,0.019,5853.426,23892.5,0.729,N
75721304489404442,"26834, 33953, 1168",44,38,22,2752,14395,0.191,100.582,2.0,0.645,0.256,0.099,3284.805,14374.333,1.001,N
75650935745201245,"26586, 34185, 1148",58,46,19,3385,14787,0.229,177.385,3.053,0.829,0.133,0.039,4084.702,16801.667,0.88,N
75650729586774837,"26322, 32726, 1146",33,72,13,3418,13094,0.261,232.901,5.538,0.888,0.093,0.019,4023.468,13605.5,0.962,N
75580429562070008,"26035, 33192, 1142",58,72,31,5086,31873,0.16,129.504,2.323,0.812,0.129,0.059,6301.145,34303.833,0.929,N
